"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2022","1.0004","1.0001","1.0009","1.0000","1.01B","0.02%"
"03/20/2022","1.0004","1.0004","1.0006","1.0000","1.16B","0.01%"
"03/27/2022","1.0003","1.0005","1.0006","0.9997","1.49B","-0.02%"
"04/03/2022","1.0003","1.0003","1.0006","0.9998","1.05B","0.00%"
"04/10/2022","1.0002","1.0003","1.0008","1.0000","901.46M","-0.01%"
"04/17/2022","1.0002","1.0002","1.0006","1.0000","807.23M","0.00%"
"04/24/2022","1.0003","1.0002","1.0006","0.9999","942.11M","0.01%"
"05/01/2022","0.9999","1.0003","1.0006","0.9998","1.04B","-0.04%"
"05/08/2022","0.9990","0.9999","1.0019","0.9744","3.77B","-0.09%"
"05/15/2022","0.9994","0.9990","1.0004","0.9988","1.27B","0.03%"
"05/22/2022","0.9995","0.9993","0.9999","0.9990","979.72M","0.02%"
"05/29/2022","0.9999","0.9995","1.0019","0.9992","1.11B","0.04%"
"06/05/2022","0.9999","0.9999","1.0007","0.9992","912.49M","0.00%"
"06/12/2022","0.9990","0.9999","1.0023","0.9974","2.68B","-0.09%"
"06/19/2022","0.9996","0.9990","0.9999","0.9983","986.24M","0.05%"
"06/26/2022","0.9990","0.9996","1.0005","0.9988","932.89M","-0.05%"
"07/03/2022","0.9996","0.9990","0.9998","0.9987","709.71M","0.06%"
"07/10/2022","0.9999","0.9996","1.0002","0.9986","796.84M","0.03%"
"07/17/2022","1.0000","0.9999","1.0003","0.9997","831.66M","0.01%"
"07/24/2022","1.0002","1.0000","1.0007","0.9997","832.87M","0.02%"
"07/31/2022","0.9999","1.0002","1.0004","0.9984","757.47M","-0.04%"
"08/07/2022","1.0003","0.9999","1.0007","0.9997","694.26M","0.04%"
"08/14/2022","0.9999","1.0003","1.0003","0.9998","698.09M","-0.03%"
"08/21/2022","1.0002","1.0000","1.0007","0.9996","652.57M","0.03%"
"08/28/2022","1.0000","1.0002","1.0007","0.9998","616.62M","-0.02%"
"09/04/2022","1.0003","1.0000","1.0006","0.9997","791.44M","0.03%"
"09/11/2022","1.0002","1.0003","1.0009","0.9999","797.82M","-0.01%"
"09/18/2022","1.0002","1.0002","1.0008","0.9999","795.75M","0.00%"
"09/25/2022","1.0000","1.0004","1.0008","0.9998","904.00M","-0.02%"
"10/02/2022","1.0001","1.0000","1.0003","0.9999","671.22M","0.01%"
"10/09/2022","1.0000","1.0001","1.0003","0.9998","631.68M","-0.01%"
